longitude,latitude,target_no,target_name,type,subtype,dimensions_ft,depth_ft,material,target_description,css_surveyed,css_survey_date,css_dimensions,css_historically_explored,css_description,css_url,dcs_target_no,dcs_scuba_footage,dcs_scuba_date,dcs_dimensions,dcs_notes,dcs_url,sc_notes,sc_newly_uncovered,sc_rov_dive_duration,sc_rov_dive_date,sc_video_url,sc_current_footage_status,sc_initial_footage_status,sc_howto_access
-122.324843,47.6525493,LU001,Unknown,Unknown,Unknown Object,20' x 12',35,Unknown,Unknown object,Yes,NA,20' x 12',No,Unknown Object,https://www.coastalsensing.com/survey-target-logs-lake-union/tag/LU01,NA,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,No Footage,No Footage,Boat
-122.3284209,47.6506131,LU002,Unknown,Unknown,Unknown Object,16' x 8',35,Unknown,Unknown object,Yes,NA,16' x 8',No,Unknown Object,https://www.coastalsensing.com/survey-target-logs-lake-union/tag/LU02,NA,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,No Footage,No Footage,Boat
-122.3285119,47.6493959,LU003,Unknown,Shipwreck,Old Barge,100' x 30',35,Unknown,NA,Yes,NA,100' x 30',No,Old Barge,https://www.coastalsensing.com/survey-target-logs-lake-union/tag/LU03,NA,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,No Footage,No Footage,Boat
-122.3300238,47.6479338,LU004,Unknown,Debris,Several Debris Objects,6'x6',35,Unknown,NA,Yes,NA,6'x6',No,Several Debris Objects,https://www.coastalsensing.com/survey-target-logs-lake-union/tag/LU04,NA,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,No Footage,No Footage,Puget Sound Yacht Club
-122.3306924,47.6461409,LU005,Unknown,Shipwreck,Shipwreck,32' x 11',40,Unknown,weed covered,Yes,NA,32' x 11',No,Shipwreck - Weed Covered,https://www.coastalsensing.com/survey-target-logs-lake-union/tag/LU05,NA,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,No Footage,No Footage,Boat
-122.3318662,47.6437101,LU006,LCVP PA 201-8/9,Shipwreck,Landing Craft,25' x 8',40,Unknown,weed covered,Yes,NA,25' x 8',Yes,Landing Craft (Weed Covered),https://www.coastalsensing.com/survey-target-logs-lake-union/tag/LU06,18,yes`,NA,NA,NA,http://www.dcsfilms.com/Site_4/Higgins_Boat.html,NA,no,NA,NA,NA,Historical Footage,Historical Footage,Boat
-122.337118,47.6448462,LU007,Foss 54 (YC 191),Shipwreck,Barge,91' x 26',15,Unknown,NA,Yes,NA,91' x 26',Yes,Barge,https://www.coastalsensing.com/survey-target-logs-lake-union/tag/LU07,8,yes,NA,110 x 30,"Length 110 feet, Width 30 feet, Height 8 feet, Gross Tonnage 233",http://www.dcsfilms.com/Site_4/FOSS_54_Lake_Union.html,"large wooden barge,  shallow, somewhat featureless",no,1,13Dec2025,https://www.youtube.com/watch?v=MPLPYdXKrpQ,Updated Footage,Historical Footage,Gas Works Park
-122.3376876,47.6449193,LU008,Irene,Shipwreck,Shipwreck,45' x 12',40,Wood,NA,Yes,NA,45' x 12',Yes,Shipwreck,https://www.coastalsensing.com/survey-target-logs-lake-union/tag/LU08,9,yes,NA,48 x 11ft,"Length 48 feet, Width 11ft, Depth 6 feet (bow) 3 feet (stern), Engine 22 feet from bow",http://www.dcsfilms.com/Site_4/Irene_Lake_Union.html,need to re-dive her,no,0.5,10Feb2026,NA,Updated Footage,Historical Footage,Gas Works Park
-122.3380882,47.6448424,LU009,Unknown,Shipwreck,Landing Craft,40' x 10',40,Unknown,Converted Landing Craft,Yes,NA,40' x 10',Yes,Converted Landing Craft,https://www.coastalsensing.com/survey-target-logs-lake-union/tag/LU09,10,yes,NA,34 x 9,"Wooden vessel, length 34', width 9', depth 4' (bow)",http://www.dcsfilms.com/Site_4/Lake_Union_Targets.html,"fun dive to see pulleys and gear strewn about, neat historical component",no,1,13Dec2025,https://www.youtube.com/watch?v=MPLPYdXKrpQ,Updated Footage,Historical Footage,Gas Works Park
-122.3395139,47.6451389,LU010,NA,Infrastructure,Dock Section,15' x 6',40,Unknown,NA,Yes,NA,15' x 6',Yes,Dock Section,https://www.coastalsensing.com/survey-target-logs-lake-union/tag/LU10,NA,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,No Footage,No Footage,Northlake Shipyard
-122.3426982,47.6465455,LU011,NA,Debris,Large Tire Sanding Up & Debris Item,NA,40,Mixed (Debris),NA,Yes,NA,NA,No,Large Tire Sanding Up & Debris Item,https://www.coastalsensing.com/survey-target-logs-lake-union/tag/LU11,NA,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,No Footage,No Footage,Pacific Coast Yachting Services
-122.3428997,47.6466034,LU012,Kahlenberg,Shipwreck,Boat,55' x 14',40,Unknown,NA,Yes,NA,55' x 14',Yes,Boat,https://www.coastalsensing.com/survey-target-logs-lake-union/tag/LU12,13,yes,NA,NA,NA,http://www.dcsfilms.com/Site_4/Wreck_of_the_Kahlenberg.html,NA,no,NA,NA,NA,Historical Footage,Historical Footage,Pacific Coast Yachting Services
-122.3415702,47.64702,LU013,Unknown,Shipwreck,Shipwreck,TBD,40,Unknown,NA,Yes,NA,TBD,No,Shipwreck,https://www.coastalsensing.com/survey-target-logs-lake-union/tag/LU13,NA,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,No Footage,No Footage,Divers Institute of Technology
-122.3409251,47.6470662,LU014,Unknown,Shipwreck,Shipwreck Under Docks,TBD,40,Unknown,NA,Yes,NA,TBD,No,Shipwreck Under Docks,https://www.coastalsensing.com/survey-target-logs-lake-union/tag/LU14,NA,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,No Footage,No Footage,Divers Institute of Technology
