longitude,latitude,target_no,target_name,type,subtype,dimensions_ft,top_of_target_depth_ft,water_depth_ft,material,Type (New),Class (New),Subclass (New),target_description,css_surveyed,css_survey_date,css_dimensions,css_water_depth_ft,css_historically_explored,css_description,css_url,dcs_target_no,dcs_scuba_footage,dcs_scuba_date,dcs_dimensions,dcs_notes,dcs_history_url,dcs_video_url,luvm_url,sc_newly_uncovered,sc_rov_dive_date,sc_top_of_target_ft,sc_water_depth_ft,sc_video_url,sc_current_footage_status,sc_initial_footage_status,sc_howto_access
-122.324843,47.6525493,LU001,Wooden Barge,Barge,Wooden Barge with special purpose,20' x 12',#N/A,35,Wood,Vessel,Barge Wreck,Wooden,"Name: Wooden Barge (LU001)
Type: Vessel | Class: Barge | Subclass: Wood
Shipwreck City Data
This target has been classified as a wooden barge with a special purpose, resting in 35 feet of water and measuring roughly 20 feet by 12 feet. The structure is heavily colonized by aquatic weeds and algae, with much of the hull outline obscured by growth. Visible features include upright posts and a curved fitting near the bow area, along with a large breach or opening in the deck near the stern. A perch was observed swimming near the wreck during the dive.
Prior Research and Theories
This target has been logged by Coastal Sensing & Survey under LU01, though no additional narrative accompanies the entry beyond the classification and imagery.",Yes,NA,20' x 12',35,No,Unknown Object,https://www.coastalsensing.com/survey-target-logs-lake-union/tag/LU01,NA,NA,NA,NA,NA,NA,,NA,no,4May2026,,,NA,First Footage,No Footage,Boat
-122.3284209,47.6506131,LU002,Wood Structure,Infrastructure,Wooden structure,16' x 8',25,35,Wood,Infrastructure ,Man Made,Wooden,"Name: Unknown Wood Structure (LU002)
Type: Infrastructure | Class: Man-made | Subclass: Wood
Shipwreck City Data
This target has been classified as a wooden structure, resting in 35 feet of water and measuring roughly 16 feet by 8 feet. It is heavily obscured by aquatic weeds, with visible timbers running at a diagonal and meeting at a joint or corner, coated in dense algae and short growth. A small fish was observed near the structure during the dive.
Prior Research and Theories
This target has been logged by Coastal Sensing & Survey under LU02, though no additional narrative accompanies the entry beyond the classification and imagery.",Yes,NA,16' x 8',35,No,Unknown Object,https://www.coastalsensing.com/survey-target-logs-lake-union/tag/LU02,NA,NA,NA,NA,NA,NA,,NA,no,4May2026,25,28,NA,First Footage,No Footage,Boat
-122.3285119,47.6493959,LU003,"""The Old Barge""",Barge,Wooden Barge,100' x 30',30,35,Wood,Vessel,Barge Wreck,Wooden,"Name: Old Barge (LU003)
Type: Vessel | Class: Barge Wreck | Subclass: Wooden
Shipwreck City Data
This target has been classified as a wooden barge, resting in 35 feet of water and measuring roughly 100 feet by 30 feet. The hull is heavily encrusted with barnacle-like growth along its exposed edges, with some sections of timber showing dark, deteriorated wood beneath the crust. A curved metal or wood fitting, possibly a rudder or hardware piece, is visible near the structure. A modern beer can rests nearby on the lakebed, along with scattered aquatic weeds.
Prior Research and Theories
This target has been documented by the Lake Union Virtual Museum as a large, 70 foot rugged wooden barge lying on the lake bottom near Gasworks Park, not far from the wreck of Foss barge #54. Heavily laden barges of a similar kind can still be seen passing through the area today, moving cargo between Lake Washington and Puget Sound. Underwater photographs from this record are credited to diver Dan Warter, taken in 2011. This target has also been logged by Coastal Sensing & Survey under LU03, and referenced in DCS Films' Lake Union wreck survey",Yes,NA,100' x 30',35,No,Old Barge,https://www.coastalsensing.com/survey-target-logs-lake-union/tag/LU03,7,yes,NA,70 x 23 x 4,"""Old Barge, Length 70, Width 23, Height 4""",http://www.dcsfilms.com/Site_4/Lake_Union_barges.html,https://vimeo.com/23801859?fl=pl&fe=sh,NA,no,4May2026,30,33,NA,Updated Footage,Historical Footage,Boat
-122.3300238,47.6479338,LU004,Metal Frame,Infrastructure,Metal frame,6'x6',34,35,Metal,Infrastructure ,Man Made,Metal,"LU004 — Unknown Metal Frame
Type: Infrastructure | Class: Man Made | Subclass: Metal
Shipwreck City Data
This target has been classified as a metal frame, resting in 35 feet of water and measuring roughly 6 feet by 6 feet. ROV and side-scan imagery show a scattered debris field with multiple separate metal objects rather than a single cohesive structure, including angular framing pieces and smaller unidentified fragments scattered across the lakebed.
Prior Research and Theories
This target has been logged by Coastal Sensing & Survey under LU04, described as an area with several debris objects, though no additional narrative accompanies the entry.",Yes,NA,6'x6',35,No,Several Debris Objects,https://www.coastalsensing.com/survey-target-logs-lake-union/tag/LU04,NA,NA,NA,NA,NA,NA,,NA,no,4May2026,34,35,NA,First Footage,No Footage,boat
-122.3306924,47.6461409,LU005,Wooden Boat,Shipwreck,Shipwreck (longboat style hull),32' x 11',37,40,Wood,Vessel,Shipwreck,Wooden,"Type: Vessel | Class: Shipwreck | Subclass: Wood
Shipwreck City Data
This target has been classified as a wooden shipwreck with a longboat-style hull, resting in 40 feet of water and measuring roughly 32 feet by 11 feet. The wreck is heavily colonized by aquatic weeds along much of its length, with the hull's structural planking visible where growth has thinned. Side-scan sonar confirms an elongated, narrow return consistent with the recorded dimensions.
Prior Research and Theories
This target has been logged by Coastal Sensing & Survey under LU05, described as a weed-covered shipwreck, matching what's visible in the more recent imagery.",Yes,NA,32' x 11',40,No,Shipwreck - Weed Covered,https://www.coastalsensing.com/survey-target-logs-lake-union/tag/LU05,NA,NA,NA,NA,NA,NA,,NA,no,4May2026,37,41,NA,First Footage,No Footage,Boat
-122.3318662,47.6437101,LU006,LCVP PA 201-8/9,Shipwreck,Landing Craft,25' x 8',#N/A,40,Wood,Vessel,Shipwreck,Wooden,"Type: Vessel | Class: Shipwreck | Subclass: Wood
Shipwreck City Data
This target has been classified as a wooden landing craft, resting in 40 feet of water and measuring roughly 25 feet by 8 feet. The flat-bottomed hull is heavily weed-covered, consistent with prior reports, though partial hull markings are visible on the stern in some frames.
Prior Research and Theories
This target has been historically explored and logged by Coastal Sensing & Survey under LU06 as a weed-covered landing craft. DCS Films identifies it specifically as an LCVP, or Higgins Boat, bearing the partial hull number ""PA 201,"" possibly originating from the USS Menard, though the full designation remains obscured under roughly two feet of mud at the stern. The Lake Union Virtual Museum also documents this wreck under the same identification.",Yes,NA,25' x 8',40,Yes,Landing Craft (Weed Covered),https://www.coastalsensing.com/survey-target-logs-lake-union/tag/LU06,18,yes`,NA,NA,NA,http://www.dcsfilms.com/Site_4/Higgins_Boat.html,https://vimeo.com/23622216?fl=pl&fe=sh,http://www.lakeunionhistory.org/Higgins_Boat.html,no,6May2026,,,NA,Updated Footage,Historical Footage,Boat
-122.337118,47.6448462,LU007,Foss 54 (YC 191),Barge,Barge,91' x 26',#N/A,15,Unknown,Vessel,Shipwreck,Wooden,"Type: Vessel | Class: Shipwreck | Subclass: Wooden
Shipwreck City Data
This target has been classified as a wooden barge, resting in 15 feet of water. Shipwreck City's dive documented the hull's heavy timber construction, with large deck beams and structural members still largely intact despite decades of exposure, and biofouling and algae growth colonizing much of the exposed wood.
Prior Research and Theories
This target has been historically explored and logged by Coastal Sensing & Survey under LU07 as a barge. DCS Films provides detailed history: the vessel is officially the Foss 54 (Official No. 170055), originally built in 1908 for the U.S. Navy in Bremerton as YC 191, measuring 110 feet long, 30.2 feet wide, with a depth of 7.8 feet and a gross tonnage of 233. It was likely used to haul coal and other commodities before WWI. Foss Launch and Tug Co. bought and renamed it in 1929, homeporting it in Tacoma. It returned to Seattle in 1947 and was removed from documentation in 1969; a Foss company historian suspects it was sold off around the time Foss itself was sold to Dillingham Corp., though the sale records were destroyed in the 1970s. It has rested on the bottom of Lake Union near Gasworks Park ever since. The Lake Union Virtual Museum also documents this wreck as the Foss Barge.",Yes,NA,91' x 26',15,Yes,Barge,https://www.coastalsensing.com/survey-target-logs-lake-union/tag/LU07,8,yes,NA,110 x 30,"Length 110 feet, Width 30 feet, Height 8 feet, Gross Tonnage 233",http://www.dcsfilms.com/Site_4/FOSS_54_Lake_Union.html,https://youtu.be/i42ZglIl_LU?si=zPqSMah3WNudZxu2,http://www.lakeunionhistory.org/Foss_Barge.html,no,13Dec2025,,,https://www.youtube.com/watch?v=MPLPYdXKrpQ,Updated Footage,Historical Footage,Gas Works Park
-122.3376876,47.6449193,LU008,Irene,Shipwreck,Shipwreck,45' x 12',#N/A,40,Wood,Vessel,Shipwreck,Wood,"Type: Vessel | Class: Shipwreck | Subclass: Wood
Shipwreck City Data
This target has been classified as a wooden shipwreck, resting in 40 feet of water. The dive confirmed visible name lettering reading ""Irene"" on the hull, along with what appears to be a hatch opening on the deck.
Prior Research and Theories
This target has been historically explored and logged by Coastal Sensing & Survey under LU08. DCS Films documents it by name as the Irene. The Lake Union Virtual Museum describes it as a wooden vessel 48 feet long, 11 feet wide, and 6 feet tall at the bow, with underwater photographs from 2011 by diver Dan Warter showing the name lettering and a hatch on deck, matching what Shipwreck City's own imagery confirms.",Yes,NA,45' x 12',40,Yes,Shipwreck,https://www.coastalsensing.com/survey-target-logs-lake-union/tag/LU08,9,yes,NA,48 x 11ft,"Length 48 feet, Width 11ft, Depth 6 feet (bow) 3 feet (stern), Engine 22 feet from bow",http://www.dcsfilms.com/Site_4/Irene_Lake_Union.html,https://youtu.be/VluSc-tzzZM?si=CitVDeiU10oG2e9r,http://www.lakeunionhistory.org/Irene.html,no,10Feb2026,,,NA,Updated Footage,Historical Footage,Gas Works Park
-122.3380882,47.6448424,LU009,Landing Craft,Shipwreck,Landing Craft,40' x 10',#N/A,40,Wood,Vessel,Shipwreck,Wood,"Type: Vessel | Class: Shipwreck | Subclass: Wood
Shipwreck City Data
This target has been classified as a converted landing craft, resting in 40 feet of water and measuring roughly 40 feet by 10 feet. The wooden hull shows a flat, angular bow structure typical of a landing craft design, with visible deck framing and hardware including a possible cleat still fastened to one of the beams. Sections of the hull are coated in silt and light growth, with a hole or opening visible in the deck in some frames.
Prior Research and Theories
This target has been historically explored and logged by Coastal Sensing & Survey under LU09 as a converted landing craft. DCS Films documents it among its Lake Union relics. The Lake Union Virtual Museum specifies that this wreck was originally a military LCVP landing craft before being converted for other uses, and gives its dimensions as 34 feet long, 9 feet wide, with a 4-foot depth at the bow, with underwater photos credited to diver Dan Warter from 2011.",Yes,NA,40' x 10',40,Yes,Converted Landing Craft,https://www.coastalsensing.com/survey-target-logs-lake-union/tag/LU09,10,yes,NA,34 x 9,"Wooden vessel, length 34', width 9', depth 4' (bow)",http://www.dcsfilms.com/Site_4/Lake_Union_Targets.html,https://www.youtube.com/watch?v=u__u4sHH8hI,http://www.lakeunionhistory.org/Converted_Landing_Craft.html,no,13Dec2025,,,https://www.youtube.com/watch?v=MPLPYdXKrpQ,Updated Footage,Historical Footage,Gas Works Park
-122.3395139,47.6451389,LU010,Small Work Barge,Barge,Small wood work barge,15' x 6',#N/A,40,Wood,Vessel,Barge Wreck,Wood,"Type: Vessel | Class: Barge Wreck | Subclass: Wood
Shipwreck City Data
This target has been classified as a small wooden work barge, resting in 40 feet of water and measuring roughly 15 feet by 6 feet. The dive shows a squared-off timber hull section, with the exposed wood coated in light growth and sediment, and a darker patch of buildup or debris settled against the structure. Side-scan sonar confirms a compact, rectangular return consistent with the recorded dimensions.
Prior Research and Theories
This target has been historically explored and logged by Coastal Sensing & Survey under LU10, described there as a dock section rather than a barge, a discrepancy worth noting for future review.",Yes,NA,15' x 6',40,Yes,Dock Section,https://www.coastalsensing.com/survey-target-logs-lake-union/tag/LU10,NA,NA,NA,NA,NA,NA,,NA,no,10May2026,,,NA,First Footage,No Footage,boat
